profile,condition,seed,repeat_rate,visit_entropy,max_share,distinct,action_repeat_rate
neutral,none,0,0.6939,0.6787,0.8400,6.0000,0.5000
neutral,none,1,0.8776,0.2929,0.9400,4.0000,0.3488
neutral,none,2,0.6531,0.8117,0.7800,5.0000,0.3750
neutral,none,3,0.6735,0.7073,0.8200,5.0000,0.3333
neutral,none,4,0.6939,0.6451,0.8200,4.0000,0.2353
neutral,none,5,0.6939,0.6060,0.8400,4.0000,0.3824
neutral,none,6,0.5510,0.8097,0.7600,4.0000,0.3704
neutral,none,7,0.6122,0.7543,0.7800,5.0000,0.4000
neutral,none,8,0.7551,0.4883,0.8800,4.0000,0.3784
neutral,none,9,0.6939,0.6060,0.8400,4.0000,0.2941
neutral,location_only,0,0.0408,1.5488,0.4400,6.0000,0.0000
neutral,location_only,1,0.0816,1.4594,0.4400,5.0000,0.0000
neutral,location_only,2,0.0816,1.5984,0.3600,6.0000,0.2500
neutral,location_only,3,0.0816,1.5149,0.4600,6.0000,0.5000
neutral,location_only,4,0.0204,1.5789,0.4200,6.0000,1.0000
neutral,location_only,5,0.0204,1.5568,0.4200,6.0000,0.0000
neutral,location_only,6,0.0612,1.6172,0.3800,6.0000,0.3333
neutral,location_only,7,0.0408,1.6393,0.3600,6.0000,0.5000
neutral,location_only,8,0.0204,1.6121,0.3800,6.0000,1.0000
neutral,location_only,9,0.0816,1.5228,0.4400,6.0000,0.0000
neutral,full,0,0.0408,1.5488,0.4400,6.0000,0.0000
neutral,full,1,0.0816,1.4594,0.4400,5.0000,0.0000
neutral,full,2,0.0816,1.5984,0.3600,6.0000,0.0000
neutral,full,3,0.0816,1.5149,0.4600,6.0000,0.0000
neutral,full,4,0.0204,1.5789,0.4200,6.0000,0.0000
neutral,full,5,0.0204,1.5568,0.4200,6.0000,0.0000
neutral,full,6,0.0612,1.6172,0.3800,6.0000,0.0000
neutral,full,7,0.0408,1.6393,0.3600,6.0000,0.0000
neutral,full,8,0.0204,1.6121,0.3800,6.0000,0.0000
neutral,full,9,0.0816,1.5228,0.4400,6.0000,0.0000
O-1,none,0,0.3673,1.1621,0.4600,5.0000,0.7778
O-1,none,1,0.3673,0.9710,0.4800,4.0000,0.5000
O-1,none,2,0.4694,1.0210,0.4400,3.0000,0.4783
O-1,none,3,0.3265,1.0470,0.5000,4.0000,0.6250
O-1,none,4,0.3878,1.0301,0.4600,4.0000,0.2632
O-1,none,5,0.3061,1.1109,0.4400,4.0000,0.6667
O-1,none,6,0.3061,1.2587,0.4600,5.0000,0.6667
O-1,none,7,0.3265,1.1787,0.4400,5.0000,0.4375
O-1,none,8,0.3265,1.0357,0.5800,5.0000,0.4375
O-1,none,9,0.4490,1.2286,0.5200,6.0000,0.6364
O-1,location_only,0,0.1224,0.7722,0.5400,3.0000,0.5000
O-1,location_only,1,0.3061,0.6534,0.6400,2.0000,0.5333
O-1,location_only,2,0.3265,0.6641,0.6200,2.0000,0.6250
O-1,location_only,3,0.1837,0.6859,0.5600,2.0000,0.4444
O-1,location_only,4,0.1429,0.6803,0.5800,2.0000,0.4286
O-1,location_only,5,0.1837,0.8300,0.5200,3.0000,0.2222
O-1,location_only,6,0.3061,0.6641,0.6200,2.0000,0.7333
O-1,location_only,7,0.0816,0.7755,0.5200,3.0000,0.7500
O-1,location_only,8,0.3265,0.6534,0.6400,2.0000,0.3750
O-1,location_only,9,0.2041,0.6803,0.5800,2.0000,0.6000
O-1,full,0,0.1224,0.7722,0.5400,3.0000,0.1667
O-1,full,1,0.3061,0.6534,0.6400,2.0000,0.1333
O-1,full,2,0.3265,0.6641,0.6200,2.0000,0.1250
O-1,full,3,0.1837,0.6859,0.5600,2.0000,0.2222
O-1,full,4,0.1429,0.6803,0.5800,2.0000,0.2857
O-1,full,5,0.1837,0.8300,0.5200,3.0000,0.1111
O-1,full,6,0.3061,0.6641,0.6200,2.0000,0.2667
O-1,full,7,0.0816,0.7755,0.5200,3.0000,0.2500
